trace,l1_fraction,l2_multiplier,policy,seed,window,selector,arrival_rejection,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi3,2,end,lfu,True,7,33809.0,33280,51966.8,60797,0.14285714285714285,0.8571428571428571,0,47451.0,-0.23551096060802662
conversation_trace,0.0025,1,pi3,2,end,lru,False,1,7168.0,7168,7168.0,7168,0.0,1.0,0,16896.0,-0.43351894499096955
conversation_trace,0.0025,1,pi3,2,end,lru,True,7,19309.714285714286,21504,31613.000000000007,40829,0.14285714285714285,0.8571428571428571,0,47451.0,0.314779354150198
conversation_trace,0.0025,1,pi3,2,end,next_use,False,1,7168.0,7168,7168.0,7168,0.0,1.0,0,16896.0,0.26558227108037724
conversation_trace,0.0025,1,pi3,2,end,next_use,True,7,19658.428571428572,14217,38371.40000000001,60797,0.14285714285714285,0.8571428571428571,0,47451.0,0.048729368767965096
conversation_trace,0.0025,1,pi3,3,600,count,True,8,13743.625,11520.0,32152.399999999998,36995,0.0,1.0,0,40175.625,0.2873122197807435
conversation_trace,0.0025,1,pi3,3,600,learned,True,8,35072.0,35393.5,43161.6,43520,0.0,1.0,0,40175.625,-0.2288971725061372
conversation_trace,0.0025,1,pi3,3,600,lfu,True,8,31407.625,35393.5,43161.6,43520,0.125,0.875,0,40175.625,-0.07093858129717098
conversation_trace,0.0025,1,pi3,3,600,lru,True,8,13679.625,11520.0,32152.399999999998,36995,0.125,0.875,0,40175.625,0.09924539179995315
conversation_trace,0.0025,1,pi3,3,600,next_use,True,8,13743.625,11520.0,32152.399999999998,36995,0.0,1.0,0,40175.625,0.3008881075918388
conversation_trace,0.0025,1,pi3,3,end,count,True,8,13848.75,4707.0,44235.6,49795,0.375,0.625,0,49592.0,0.3093994318990416
conversation_trace,0.0025,1,pi3,3,end,learned,True,8,44360.375,47235.0,59731.2,62912,0.0,1.0,0,49592.0,-0.18857512742411928
conversation_trace,0.0025,1,pi3,3,end,lfu,True,8,40632.0,47235.0,59731.2,62912,0.125,0.875,0,49592.0,-0.03297313624341815
conversation_trace,0.0025,1,pi3,3,end,lru,True,8,13184.0,2048.0,44235.6,49795,0.5,0.5,0,49592.0,0.10707707902001505
conversation_trace,0.0025,1,pi3,3,end,next_use,True,8,13848.75,4707.0,44235.6,49795,0.375,0.625,0,49592.0,0.26293239338174323
conversation_trace,0.0025,1,pi3,4,600,count,False,1,6656.0,6656,6656.0,6656,0.0,1.0,0,19456.0,0.27026907466280725
conversation_trace,0.0025,1,pi3,4,600,count,True,7,10496.857142857143,9347,18124.800000000003,24576,0.0,1.0,0,31835.85714285714,0.24521524301137254
conversation_trace,0.0025,1,pi3,4,600,learned,False,1,0.0,0,0.0,0,1.0,0.0,0,19456.0,-0.0012315420363210434
conversation_trace,0.0025,1,pi3,4,600,learned,True,7,2687.5714285714284,0,7499.000000000004,12800,0.5714285714285714,0.42857142857142855,0,31835.85714285714,0.041836331427988246
conversation_trace,0.0025,1,pi3,4,600,lfu,False,1,0.0,0,0.0,0,1.0,0.0,0,19456.0,0.013918654604035859
conversation_trace,0.0025,1,pi3,4,600,lfu,True,7,4534.857142857143,2048,12852.4,12931,0.42857142857142855,0.5714285714285714,0,31835.85714285714,0.12865085413071237
