lineage,selection_hash,window,selector,captured_regret_tokens,three_stream_mean_regret_tokens,three_stream_mean_paired_diff_vs_learned_tokens
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,end,lru,41984,28842.666666666668,9728.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,end,next_use,41984,28842.666666666668,9728.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,600,count,20992,18432.0,2730.6666666666665
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,600,learned,6656,15701.333333333334,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,600,lfu,6656,10922.666666666666,-4778.666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,600,lru,20992,18432.0,2730.6666666666665
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,600,next_use,20992,18432.0,2730.6666666666665
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,end,count,26112,20821.333333333332,3584.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,end,learned,13824,17237.333333333332,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,end,lfu,13824,15360.0,-1877.3333333333333
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,end,lru,26112,20821.333333333332,3584.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000025e9ed2d077a139094c7abcef36db84fc9928e30f2fccfb19912c5724706,end,next_use,26112,20821.333333333332,3584.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,600,count,33792,24576.0,4096.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,600,learned,6656,20480.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,600,lfu,6656,20480.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,600,lru,33792,24576.0,4096.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,600,next_use,33792,24576.0,4096.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,end,count,44544,23040.0,-1706.6666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,end,learned,13824,24746.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,end,lfu,13824,24746.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,end,lru,44544,23040.0,-1706.6666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=4",000222dcd96ab578a601a3245eb11e366cbf84fd655513f5ef07d2f355d9070b,end,next_use,44544,23040.0,-1706.6666666666667
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,600,count,14336,6826.666666666667,-8021.333333333333
