trace,l1_fraction,l2_multiplier,policy,seed,replicate,window,selector,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi0,2,0,end,next_use,8,39680.0,38912.0,62873.6,65024,0.0,1.0,0,70272.0,0.17608901903588653
conversation_trace,0.0025,1,pi0,2,1,600,count,2,43520.0,43520.0,57446.4,60928,0.0,1.0,0,46080.0,-0.24942465158502208
conversation_trace,0.0025,1,pi0,2,1,600,learned,2,3584.0,3584.0,6451.2,7168,0.5,0.5,0,46080.0,0.4565021792282979
conversation_trace,0.0025,1,pi0,2,1,600,lfu,2,3584.0,3584.0,6451.2,7168,0.5,0.5,0,46080.0,-0.08318626645309862
conversation_trace,0.0025,1,pi0,2,1,600,lru,2,22528.0,22528.0,25395.2,26112,0.0,1.0,0,46080.0,-0.007060153618206763
conversation_trace,0.0025,1,pi0,2,1,600,next_use,2,43520.0,43520.0,57446.4,60928,0.0,1.0,0,46080.0,-0.3647642254741964
conversation_trace,0.0025,1,pi0,2,1,end,count,2,51456.0,51456.0,59852.8,61952,0.0,1.0,0,76800.0,0.025612079255955482
conversation_trace,0.0025,1,pi0,2,1,end,learned,2,15104.0,15104.0,27187.2,30208,0.5,0.5,0,76800.0,0.3583412505437652
conversation_trace,0.0025,1,pi0,2,1,end,lfu,2,15104.0,15104.0,27187.2,30208,0.5,0.5,0,76800.0,0.20407449080027368
conversation_trace,0.0025,1,pi0,2,1,end,lru,2,34048.0,34048.0,39577.6,40960,0.0,1.0,0,76800.0,-0.0585129316325326
conversation_trace,0.0025,1,pi0,2,1,end,next_use,2,51456.0,51456.0,59852.8,61952,0.0,1.0,0,76800.0,-0.23394092502719163
conversation_trace,0.0025,1,pi0,2,2,600,count,2,24576.0,24576.0,29900.800000000003,31232,0.0,1.0,0,45568.0,0.03766316550689794
conversation_trace,0.0025,1,pi0,2,2,600,learned,2,17152.0,17152.0,28006.4,30720,0.0,1.0,0,45568.0,0.048491234627926275
conversation_trace,0.0025,1,pi0,2,2,600,lfu,2,17152.0,17152.0,28006.4,30720,0.0,1.0,0,45568.0,0.044734139708292896
conversation_trace,0.0025,1,pi0,2,2,600,lru,2,19712.0,19712.0,28928.0,31232,0.0,1.0,0,45568.0,-0.25499189672707245
conversation_trace,0.0025,1,pi0,2,2,600,next_use,2,24576.0,24576.0,29900.800000000003,31232,0.0,1.0,0,45568.0,0.31094069316710976
conversation_trace,0.0025,1,pi0,2,2,end,count,2,31744.0,31744.0,41984.0,44544,0.0,1.0,0,58112.0,0.07829112942179126
conversation_trace,0.0025,1,pi0,2,2,end,learned,2,22272.0,22272.0,24524.8,25088,0.0,1.0,0,58112.0,0.21263284180227146
conversation_trace,0.0025,1,pi0,2,2,end,lfu,2,22272.0,22272.0,24524.8,25088,0.0,1.0,0,58112.0,0.26872566403253195
