trace,l1_policy,l1_fraction,l1_capacity_bytes,requested_tokens,l1_avoided_tokens,depth_bin,events_measured,share_of_events,evicted_bytes_share,share_reused_before_end,share_reused_with_l1_ancestors,median_distinct_bytes_to_reuse,rescue_tokens_self,rescue_tokens_with_ancestors,rescue_share_with_ancestors,missing_ancestor_bytes
synthetic_trace,lru,0.02,874166968,32087376,4297568,2-3,2541,0.046058474868132464,0.046384170304726184,0.6635182998819362,0.0,3932135424.0,0,1111040,0.0452520976504295,3412066304
synthetic_trace,lru,0.02,874166968,32087376,4297568,4-7,4882,0.0884917254255107,0.08871393225720996,0.6603850880786563,0.003101736972704715,3937744896.0,3147,2126230,0.08660027324603319,19411238912
synthetic_trace,lru,0.02,874166968,32087376,4297568,8-15,8208,0.1487792057133535,0.14893444756635102,0.6370614035087719,0.0017211703958691911,3959093248.0,3550,3524452,0.14354914860693724,74983669760
synthetic_trace,lru,0.02,874166968,32087376,4297568,16-31,13651,0.24743968533052982,0.24958073044841528,0.6261812321441652,0.0002339728591483388,4026761216.0,1026,5893641,0.24004501912494147,267642732544
synthetic_trace,lru,0.02,874166968,32087376,4297568,32-63,14573,0.2641519694031068,0.26403996142784897,0.637960612090853,0.0010756157900397977,4111321088.0,3403,6664843,0.27145568679865845,608441466880
synthetic_trace,lru,0.02,874166968,32087376,4297568,64+,9816,0.1779260091718175,0.17785089441172325,0.7376731866340668,0.0011048197762739953,3720325120.0,3486,4672363,0.19030298345176927,1103391358976
toolagent_trace,lfu,0.0025,446163482,83026370,30853632,1,1,9.305008886283487e-06,9.813699940450776e-06,1.0,1.0,1259483136.0,1024,1024,5.595459022715924e-05,0
toolagent_trace,lfu,0.0025,446163482,83026370,30853632,2-3,8774,0.08164214796825131,0.08303718449242202,0.3618645999544108,0.5351181102362205,6967414784.0,1006252,1886279,0.10307223486239815,1808793600
toolagent_trace,lfu,0.0025,446163482,83026370,30853632,4-7,16410,0.152695195823912,0.1491283901062264,0.2979890310786106,0.0028629856850715747,7204368384.0,20356,2921054,0.15961560507949651,20283654144
toolagent_trace,lfu,0.0025,446163482,83026370,30853632,8-15,27275,0.2537941173733821,0.2396401063222385,0.24652612282309808,0.02126710291493159,7307847680.0,65900,3980659,0.21751576482329443,72526856192
toolagent_trace,lfu,0.0025,446163482,83026370,30853632,16-31,24994,0.23256939210376945,0.2386870848872011,0.2933904136992878,0.0047729442247374885,7431983104.0,18432,4393300,0.24006377074704952,179099926528
toolagent_trace,lfu,0.0025,446163482,83026370,30853632,32-63,17922,0.16676436925997265,0.17223181400646523,0.28278093962727374,0.0023677979479084454,7591458816.0,6656,3010054,0.1644788458316617,252998320128
toolagent_trace,lfu,0.0025,446163482,83026370,30853632,64+,12093,0.1125254724618262,0.11726560648550628,0.28983709584056894,0.0002853067047075606,7731533824.0,512,2108184,0.11519782406587255,402897502208
toolagent_trace,lfu,0.01,1784653926,83026370,33195655,1,0,0.0,0.0,nan,nan,nan,0,0,0.0,0
toolagent_trace,lfu,0.01,1784653926,83026370,33195655,2-3,8396,0.08160408992389709,0.083060911467526,0.3384945212005717,0.5439831104855736,7026325504.0,917940,1693519,0.10611998059219861,1592786944
toolagent_trace,lfu,0.01,1784653926,83026370,33195655,4-7,15900,0.15453847424844733,0.1509023545766131,0.27905660377358493,0.012846517917511832,7061950464.0,44200,2654594,0.16634325552897067,17961058304
toolagent_trace,lfu,0.01,1784653926,83026370,33195655,8-15,26450,0.2570781537026058,0.2424909076204606,0.2266162570888469,0.02769436102769436,7198185472.0,81189,3558080,0.2229578649814322,63137906688
toolagent_trace,lfu,0.01,1784653926,83026370,33195655,16-31,23806,0.23138005773324133,0.23770527465377916,0.26216079979837015,0.010735459061047909,7321925632.0,36864,3771732,0.23634581403513893,149729312768
toolagent_trace,lfu,0.01,1784653926,83026370,33195655,32-63,17073,0.16593933149960635,0.17160247633011233,0.2530311017395888,0.007407407407407408,7087337472.0,18432,2582022,0.16179571916738453,210771116032
toolagent_trace,lfu,0.01,1784653926,83026370,33195655,64+,11262,0.10945989289220212,0.11423807535150879,0.2552832534185757,0.006608695652173913,7067969536.0,10752,1698584,0.10643736569487505,295923875840
toolagent_trace,lfu,0.02,3569307853,83026370,34243078,1,0,0.0,0.0,nan,nan,nan,0,0,0.0,0
toolagent_trace,lfu,0.02,3569307853,83026370,34243078,2-3,8151,0.08083582918460043,0.0822760067151068,0.3247454300085879,0.5474121647147714,6931800064.0,854584,1567187,0.10510198169042836,1463812096
toolagent_trace,lfu,0.02,3569307853,83026370,34243078,4-7,15521,0.15392625503302457,0.15016828252810507,0.2675729656594292,0.024078979051288224,7169955840.0,67898,2470420,0.16567648762251605,16458448896
toolagent_trace,lfu,0.02,3569307853,83026370,34243078,8-15,25989,0.2577404446912748,0.24290854443940962,0.21536034476124513,0.03180275147400393,7267383296.0,88636,3314100,0.22225712535916178,58126761984
toolagent_trace,lfu,0.02,3569307853,83026370,34243078,16-31,23229,0.23036872483487714,0.23677171824471233,0.24968789013732834,0.015689655172413792,7319146496.0,49664,3501003,0.2347916063648657,138501160960
toolagent_trace,lfu,0.02,3569307853,83026370,34243078,32-63,16756,0.1661741079397822,0.17196068798788583,0.24289806636428743,0.010319410319410319,7020679168.0,23040,2431494,0.16306595056517598,197089296384
toolagent_trace,lfu,0.02,3569307853,83026370,34243078,64+,11188,0.11095463831644088,0.11591476008478033,0.2461565963532356,0.00907770515613653,7067969536.0,13824,1626904,0.10910684839785212,283496153088
toolagent_trace,lru,0.0025,446163482,83026370,29393272,1,31,0.00028326023391812865,0.00029838734162389676,0.967741935483871,1.0,0.0,37376,37376,0.0018914104884014981,0
toolagent_trace,lru,0.0025,446163482,83026370,29393272,2-3,8984,0.0820906432748538,0.0834848941878293,0.37622439893143367,0.5254437869822485,6472687616.0,1063084,2057799,0.10413480874417044,1973420032
toolagent_trace,lru,0.0025,446163482,83026370,29393272,4-7,16763,0.15317068713450294,0.14969246195030306,0.31199665930919285,0.00248565965583174,6628728832.0,22916,3228736,0.16339001323521776,21551382528
toolagent_trace,lru,0.0025,446163482,83026370,29393272,8-15,27746,0.25352704678362575,0.23969399505814765,0.2594247819505514,0.01875520978049458,6787463168.0,102742,4451353,0.22526048137247093,77718355968
toolagent_trace,lru,0.0025,446163482,83026370,29393272,16-31,25337,0.23151498538011697,0.23745007412214536,0.30153530410072227,0.00013089005235602096,7132979200.0,512,4560212,0.2307692852668657,191333662720
toolagent_trace,lru,0.0025,446163482,83026370,29393272,32-63,18260,0.16684941520467836,0.17218929210178746,0.29271631982475355,0.0,7361615872.0,0,3194886,0.16167703578893164,276305018880
toolagent_trace,lru,0.0025,446163482,83026370,29393272,64+,12319,0.1125639619883041,0.11719089523816327,0.29880672132478286,0.0,7753512960.0,0,2230552,0.11287696510394206,442736050176
toolagent_trace,lru,0.01,1784653926,83026370,30578881,1,5,4.629200999907416e-05,4.8811500035169064e-05,0.8,1.0,7242815488.0,2560,2560,0.00013781738711692756,0
toolagent_trace,lru,0.01,1784653926,83026370,30578881,2-3,8819,0.081649847236367,0.08304350075163036,0.3661412858600748,0.5323629606689377,5850073088.0,998825,1880822,0.10125389596563825,1815085056
toolagent_trace,lru,0.01,1784653926,83026370,30578881,4-7,16546,0.15318951948893622,0.14961458839979067,0.30327571618518073,0.0023913909924272616,5970794496.0,18438,2939476,0.158246446020671,20460863488
toolagent_trace,lru,0.01,1784653926,83026370,30578881,8-15,27446,0.25410610128691785,0.2400214946016483,0.2509655323180063,0.01713124274099884,6137929728.0,53899,4024057,0.21663477396468053,74097623040
toolagent_trace,lru,0.01,1784653926,83026370,30578881,16-31,25086,0.23225627256735487,0.2384212400801828,0.295104839352627,0.00013508037282182898,6310596608.0,512,4376680,0.23561820384645096,183723098112
toolagent_trace,lru,0.01,1784653926,83026370,30578881,32-63,18122,0.16778076104064438,0.1732409751111496,0.2943383732479859,0.0,6708084736.0,0,3142662,0.1691849474342413,271477374976
toolagent_trace,lru,0.01,1784653926,83026370,30578881,64+,11986,0.11097120636978057,0.11560938955556309,0.3067745703320541,0.0002719608376393799,7630540800.0,512,2209048,0.118923915381201,438121267200
toolagent_trace,lru,0.02,3569307853,83026370,32176527,1,5,4.7703551052340335e-05,5.034490983069321e-05,0.8,1.0,5784485888.0,2560,2560,0.00015078639522680953,0
toolagent_trace,lru,0.02,3569307853,83026370,32176527,2-3,8333,0.0795027381838304,0.08085785838417382,0.3463338533541342,0.5308385308385308,5378033664.0,887736,1675144,0.0986675489241479,1621098496
toolagent_trace,lru,0.02,3569307853,83026370,32176527,4-7,15797,0.15071459919476407,0.1470607068362409,0.28581376210672915,0.0028792912513842745,5505814528.0,18950,2630203,0.1549214176112266,18290311168
toolagent_trace,lru,0.02,3569307853,83026370,32176527,8-15,26538,0.25319136756540156,0.23876130518549424,0.236151933077097,0.015637466092229137,5658052608.0,44780,3630485,0.2138389633105483,66983034880
toolagent_trace,lru,0.02,3569307853,83026370,32176527,16-31,24334,0.23216364226152994,0.23839028679921853,0.28018410454508097,0.0008800234672924611,5750560768.0,3072,3979123,0.23437406770862815,167007748096
toolagent_trace,lru,0.02,3569307853,83026370,32176527,32-63,17771,0.16954796115022802,0.17513666676420994,0.28186371053964326,0.000798562587342783,5817217024.0,2048,2904344,0.17106857900727068,250634829824
toolagent_trace,lru,0.02,3569307853,83026370,32176527,64+,12036,0.11483198809319366,0.11974283112083188,0.31414091060152877,0.0,6096422912.0,0,2155800,0.12697863704295156,426387701760
