policy,size_model,capacity_bytes,capacity_fraction,avoided_prefill_tokens,reused_prefix_tokens,block_hit_rate,request_hit_rate,avoided_tokens_per_cache_byte,requested_tokens,requested_blocks,hit_blocks,trace,working_set_bytes,reference_working_set_bytes,effective_capacity_fraction,online_rank,gap_to_best_online_fraction,gain_vs_lru_fraction
structural,fixed_block,892326963,0.005,75996672,75996672,0.3623662161634311,0.9991104710267706,0.08516684483510334,202940084,409616,148431,toolagent_trace,192203980800,178465392640,0.004642603963174523,2,0.002836778055507186,0.06590778189533857
frequency_x_prefix_length,fixed_block,892326963,0.005,74168832,74168832,0.35365073629936333,0.9986021687563538,0.08311844769393122,202940084,409616,144861,toolagent_trace,192203980800,178465392640,0.004642603963174523,3,0.02682012858431747,0.040271016116179496
lru_2hit,fixed_block,892326963,0.005,72937617,72937617,0.3478184445920081,0.9987716028464927,0.0817386675785118,202940084,409616,142472,toolagent_trace,192203980800,178465392640,0.004642603963174523,4,0.04297507700503764,0.02300234348685345
lru,fixed_block,892326963,0.005,71297605,71297605,0.33999160189055116,0.9985174517112844,0.07990076278800061,202940084,409616,139266,toolagent_trace,192203980800,178465392640,0.004642603963174523,5,0.06449390943427391,0.0
longest_first,fixed_block,892326963,0.005,6380544,6380544,0.03042361626498965,0.4643764825482887,0.007150455230612593,202940084,409616,12462,toolagent_trace,192203980800,178465392640,0.004642603963174523,6,0.916279967985985,-0.9105082982801456
lfu,fixed_block,1784653926,0.01,79192838,79192838,0.3776414983789696,0.9991528295493053,0.0443743388262941,202940084,409616,154688,toolagent_trace,192203980800,178465392640,0.009285207926349046,1,0.0,0.09064715917392477
structural,fixed_block,1784653926,0.01,79177728,79177728,0.3775340806999727,0.9991528295493053,0.0443658721987985,202940084,409616,154644,toolagent_trace,192203980800,178465392640,0.009285207926349046,2,0.00019080008219935242,0.0904390636063039
lru_2hit,fixed_block,1784653926,0.01,77618634,77618634,0.37016620444513887,0.9987716028464927,0.04349226080709611,202940084,409616,151626,toolagent_trace,192203980800,178465392640,0.009285207926349046,3,0.01987811069480803,0.06896715421488758
frequency_x_prefix_length,fixed_block,1784653926,0.01,75792896,75792896,0.3613945744306863,0.9986021687563538,0.0424692400559009,202940084,409616,148033,toolagent_trace,192203980800,178465392640,0.009285207926349046,4,0.04293244295652089,0.043823012226998685
lru,fixed_block,1784653926,0.01,72610869,72610869,0.34628041873364324,0.9986868858014233,0.04068624619157675,202940084,409616,141842,toolagent_trace,192203980800,178465392640,0.009285207926349046,5,0.08311318505847713,0.0
longest_first,fixed_block,1784653926,0.01,6793216,6793216,0.03239131283934221,0.46712978651304643,0.003806461242166903,202940084,409616,13268,toolagent_trace,192203980800,178465392640,0.009285207926349046,6,0.9142193136202544,-0.9064435380879411
lru_2hit,fixed_block,3569307853,0.02,86064552,86064552,0.41046248193429946,0.9989833954591664,0.0241123925266527,202940084,409616,168132,toolagent_trace,192203980800,178465392640,0.0185704158579009,1,0.0,0.1298754810742476
lfu,fixed_block,3569307853,0.02,83032640,83032640,0.39599039100035155,0.99919518807184,0.023262952768338865,202940084,409616,162204,toolagent_trace,192203980800,178465392640,0.0185704158579009,2,0.03522834813571097,0.09007183427696008
structural,fixed_block,3569307853,0.02,82906624,82906624,0.39531414788484825,0.99919518807184,0.023227647323925016,202940084,409616,161927,toolagent_trace,192203980800,178465392640,0.0185704158579009,3,0.036692551423494306,0.08841746688278539
frequency_x_prefix_length,fixed_block,3569307853,0.02,78413312,78413312,0.37388920354673644,0.9986021687563538,0.021968772442560167,202940084,409616,153151,toolagent_trace,192203980800,178465392640,0.0185704158579009,4,0.08890117733953928,0.029428220559668646
lru,fixed_block,3569307853,0.02,76171714,76171714,0.3633012382328815,0.9987716028464927,0.021340752083342362,202940084,409616,148814,toolagent_trace,192203980800,178465392640,0.0185704158579009,5,0.11494672045698907,0.0
longest_first,fixed_block,3569307853,0.02,8464182,8464182,0.040359751572204214,0.47043375127075565,0.0023713790876530483,202940084,409616,16532,toolagent_trace,192203980800,178465392640,0.0185704158579009,6,0.9016530987113022,-0.888880247594271
lru_2hit,fixed_block,8923269632,0.05,94650922,94650922,0.4514398851607359,0.9992799051169096,0.010607201833347,202940084,409616,184917,toolagent_trace,192203980800,178465392640,0.04642603964215085,1,0.0,0.015618689832891096
lru,fixed_block,8923269632,0.05,93195333,93195333,0.4446042146791141,0.9988563198915622,0.010444079002811869,202940084,409616,182117,toolagent_trace,192203980800,178465392640,0.04642603964215085,2,0.01537849784495496,0.0
structural,fixed_block,8923269632,0.05,91074589,91074589,0.4342701456974337,0.9992375465943748,0.010206414549370416,202940084,409616,177884,toolagent_trace,192203980800,178465392640,0.04642603964215085,3,0.03778444968555087,-0.022755903452804874
lfu,fixed_block,8923269632,0.05,90976576,90976576,0.43391127299714854,0.9992799051169096,0.010195430571070745,202940084,409616,177737,toolagent_trace,192203980800,178465392640,0.04642603964215085,4,0.03881997050171365,-0.023807597747410807
frequency_x_prefix_length,fixed_block,8923269632,0.05,83760123,83760123,0.39940090230850356,0.9986021687563538,0.009386707614395664,202940084,409616,163601,toolagent_trace,192203980800,178465392640,0.04642603964215085,5,0.11506278829486732,-0.10124122846366138
longest_first,fixed_block,8923269632,0.05,13451658,13451658,0.0641527674700207,0.48123517451711284,0.0015074808399558625,202940084,409616,26278,toolagent_trace,192203980800,178465392640,0.04642603964215085,6,0.8578813843989813,-0.8556616778224292
lru,fixed_block,17846539264,0.1,105267058,105267058,0.5022167102847545,0.9992375465943748,0.00589845775939005,202940084,409616,205716,toolagent_trace,192203980800,178465392640,0.0928520792843017,1,0.0,0.0
structural,fixed_block,17846539264,0.1,99942510,99942510,0.47656585680246866,0.9992799051169096,0.005600105909698908,202940084,409616,195209,toolagent_trace,192203980800,178465392640,0.0928520792843017,2,0.050581331911071364,-0.050581331911071364
lfu,fixed_block,17846539264,0.1,99561230,99561230,0.4748984414671302,0.9993222636394442,0.005578741543512287,202940084,409616,194526,toolagent_trace,192203980800,178465392640,0.0928520792843017,3,0.05420335771139344,-0.05420335771139344
lru_2hit,fixed_block,17846539264,0.1,95575284,95575284,0.45585865786492713,0.9992799051169096,0.005355395944624079,202940084,409616,186727,toolagent_trace,192203980800,178465392640,0.0928520792843017,4,0.0920684417721639,-0.0920684417721639
frequency_x_prefix_length,fixed_block,17846539264,0.1,88865607,88865607,0.42375541971016756,0.9986021687563538,0.004979430784054559,202940084,409616,173577,toolagent_trace,192203980800,178465392640,0.0928520792843017,5,0.15580801165736008,-0.15580801165736008
longest_first,fixed_block,17846539264,0.1,25241868,25241868,0.12038348111401899,0.5265164351067435,0.0014143844712189012,202940084,409616,49311,toolagent_trace,192203980800,178465392640,0.0928520792843017,6,0.7602111384171105,-0.7602111384171105
lfu,packed,178465393,0.001,72441856,72441856,0.3454161946798953,0.9986021687563538,0.40591542585514045,202940084,409616,141488,toolagent_trace,178465392640,178465392640,0.0010000000020171978,1,0.0,0.5186784699593221
structural,packed,178465393,0.001,72356864,72356864,0.3450109370727706,0.9989410369366316,0.4054391878654031,202940084,409616,141322,toolagent_trace,178465392640,178465392640,0.0010000000020171978,2,0.0011732443740811941,0.5168966889884041
frequency_x_prefix_length,packed,178465393,0.001,71857152,71857152,0.34262821764774815,0.9969925449000339,0.4026391379980319,202940084,409616,140346,toolagent_trace,178465392640,178465392640,0.0010000000020171978,3,0.008071355874703154,0.5064206755690307
lru_2hit,packed,178465393,0.001,65633695,65633695,0.31296140775750947,0.9651812944764486,0.36776707179301704,202940084,409616,128194,toolagent_trace,178465392640,178465392640,0.0010000000020171978,4,0.0939810404636789,0.37595148722275706
lru,packed,178465393,0.001,47700588,47700588,0.2274471700324206,0.849669603524229,0.2672820046405299,202940084,409616,93166,toolagent_trace,178465392640,178465392640,0.0010000000020171978,5,0.3415327735390987,0.0
longest_first,packed,178465393,0.001,5873664,5873664,0.02800671848755908,0.46306336834971196,0.0329120615558222,202940084,409616,11472,toolagent_trace,178465392640,178465392640,0.0010000000020171978,6,0.918918918918919,-0.876863907841136
lfu,packed,446163482,0.0025,73754624,73754624,0.35167571579235185,0.9988563198915622,0.1653085180108936,202940084,409616,144052,toolagent_trace,178465392640,178465392640,0.002500000002241331,1,0.0,0.06583810403869945
structural,packed,446163482,0.0025,73669632,73669632,0.3512704581852271,0.9990681125042359,0.1651180228147852,202940084,409616,143886,toolagent_trace,178465392640,178465392640,0.002500000002241331,2,0.0011523616471829617,0.06460987308549905
frequency_x_prefix_length,packed,446163482,0.0025,73102848,73102848,0.3485679270341002,0.9983056590986107,0.16384767232025502,202940084,409616,142779,toolagent_trace,178465392640,178465392640,0.002500000002241331,3,0.008837086607613917,0.05641920040361445
lru_2hit,packed,446163482,0.0025,71615998,71615998,0.34150277332916684,0.9986445272788885,0.16051514946711842,202940084,409616,139885,toolagent_trace,178465392640,178465392640,0.002500000002241331,4,0.028996500612625997,0.034932528801981166
lru,packed,446163482,0.0025,69198712,69198712,0.32996513808054373,0.9861064046086072,0.1550972116539112,202940084,409616,135159,toolagent_trace,178465392640,178465392640,0.002500000002241331,5,0.061771205016244134,0.0
longest_first,packed,446163482,0.0025,6359040,6359040,0.030321081207765322,0.4632328024398509,0.014252712865460378,202940084,409616,12420,toolagent_trace,178465392640,178465392640,0.002500000002241331,6,0.9137811345902869,-0.9081046479593435
lfu,packed,892326963,0.005,76217479,76217479,0.36343306902074135,0.9990681125042359,0.08541429561173083,202940084,409616,148868,toolagent_trace,178465392640,178465392640,0.004999999998879335,1,0.0,0.06803456684475913
structural,packed,892326963,0.005,75996672,75996672,0.3623662161634311,0.9991104710267706,0.08516684483510334,202940084,409616,148431,toolagent_trace,178465392640,178465392640,0.004999999998879335,2,0.002897065120718569,0.0649404011534314
frequency_x_prefix_length,packed,892326963,0.005,74168832,74168832,0.35365073629936333,0.9986021687563538,0.08311844769393122,202940084,409616,144861,toolagent_trace,178465392640,178465392640,0.004999999998879335,3,0.026878965650385785,0.039326902409114184
lru_2hit,packed,892326963,0.005,72944273,72944273,0.34785018163352993,0.9987716028464927,0.08174612672776536,202940084,409616,142485,toolagent_trace,178465392640,178465392640,0.004999999998879335,4,0.042945608316433556,0.022167172668632325
