trace,policy,capacity_fraction,population,horizon_seconds,seeds,population_size_mean,snapshots,auc_mean,auc_ci95_half,average_precision_mean,average_precision_ci95_half,precision_at_100_mean,precision_at_100_ci95_half,prevalence_mean,prevalence_ci95_half
conversation_trace,learned_history,0.05,observed_protocol,300,5,40000.0,24,0.8803032680730241,0.0010129633917650616,0.3181280434981409,0.0024222666671240177,0.6515833333333333,0.009328213691091445,0.035940625,6.991019065160602e-05
conversation_trace,learned_history,0.05,observed_protocol,600,5,40000.0,24,0.8611100237072427,0.0010924896198723194,0.36822923765994664,0.0022172411136177875,0.7230000000000001,0.008407940400465374,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.1,cached,60,5,17716.0,24,0.7227801275280461,0.00955802010126091,0.1625997810200481,0.0012748545040641756,0.2674166666666667,0.007561805090203164,0.06350679948743873,0.0014803761556841006
conversation_trace,learned_history,0.1,cached,300,5,17716.0,24,0.7319112677649491,0.008917393230977672,0.3876569793421151,0.0030196414978837394,0.6379166666666667,0.011880492647847433,0.17627929242574003,0.003489924359616851
conversation_trace,learned_history,0.1,cached,600,5,17716.0,24,0.73541259602035,0.009727343791211629,0.4610822506060991,0.0035292097065965267,0.69025,0.008691178247702313,0.22590357027191107,0.004704431523852499
conversation_trace,learned_history,0.1,leaves,60,5,898.75,24,0.6312073973527303,0.015273177505947502,0.13240371934694717,0.005889615717698917,0.15166666666666667,0.005498730560572843,0.06210518188020808,0.001466739000623885
conversation_trace,learned_history,0.1,leaves,300,5,898.75,24,0.642044727931027,0.0114108585232245,0.2958103359780945,0.007959528424076058,0.3719166666666666,0.01079858449571565,0.162556243474837,0.003531905957467825
conversation_trace,learned_history,0.1,leaves,600,5,898.75,24,0.6333617306095889,0.012016886011514887,0.3422437470797539,0.008318841033364631,0.43891666666666673,0.011158087022424566,0.20193993080741857,0.00491531285487077
conversation_trace,learned_history,0.1,observed,60,5,40000.0,24,0.9010286024868807,0.0011861989184419794,0.1331991594207594,0.0031676565709664235,0.24041666666666667,0.008593651920652447,0.011954999999999999,0.00020190046560399723
conversation_trace,learned_history,0.1,observed,300,5,40000.0,24,0.8796511046004063,0.0014672135038579829,0.3008980418102243,0.004720801024044121,0.60275,0.017547818933797272,0.035940625,6.991019065160602e-05
conversation_trace,learned_history,0.1,observed,600,5,40000.0,24,0.8607760989506819,0.0013222242845857268,0.348825595735973,0.005311500555611077,0.67025,0.016449898459666275,0.04856020833333334,0.00014737687748780904
conversation_trace,learned_history,0.1,observed_protocol,60,5,40000.0,24,0.9025503467032043,0.0013027344051877712,0.14526424606661573,0.0020346479492805475,0.27516666666666667,0.013930992442911058,0.011954999999999999,0.00020190046560399723
conversation_trace,learned_history,0.1,observed_protocol,300,5,40000.0,24,0.8803032680730241,0.0010129633917650616,0.3181280434981409,0.0024222666671240177,0.6515833333333333,0.009328213691091445,0.035940625,6.991019065160602e-05
conversation_trace,learned_history,0.1,observed_protocol,600,5,40000.0,24,0.8611100237072427,0.0010924896198723194,0.36822923765994664,0.0022172411136177875,0.7230000000000001,0.008407940400465374,0.04856020833333334,0.00014737687748780904
conversation_trace,learned_history_observed_norm,0.001,cached,60,5,177.0,24,0.6551632798650816,0.0186100260566524,0.49924614929410316,0.01686471889435897,0.3329166666666667,0.009614954729193699,0.27514124293785314,0.014256438890682776
