evaluated_on,fitted_on,standardization,horizon_seconds,auc,auc_std,average_precision,precision_at_100,test_snapshots,mean_positive_states,mean_candidate_states
conversation_trace,toolagent_trace,per_decision,600,0.8600003923462908,0.01140180478733544,0.3661476110715817,0.7374999999999999,24,1941.2083333333333,40000.0
synthetic_trace,conversation_trace,per_decision,10,0.7406493507644297,0.052161807506381164,0.07259099499242128,0.11708333333333332,24,1040.25,38685.125
synthetic_trace,conversation_trace,per_decision,60,0.7788639933098894,0.028606258750166872,0.3040665019366822,0.4879166666666667,24,5046.875,38685.125
synthetic_trace,conversation_trace,per_decision,300,0.8372126140738008,0.012776061428240523,0.6761238445575349,0.7787499999999999,24,11838.541666666666,38685.125
synthetic_trace,synthetic_trace,per_decision,10,0.625142101899746,0.06536628917521935,0.048596333800131127,0.045000000000000005,24,1040.25,38685.125
synthetic_trace,synthetic_trace,per_decision,60,0.6536767496863544,0.02467479490944313,0.2309633568051553,0.2283333333333333,24,5046.875,38685.125
synthetic_trace,synthetic_trace,per_decision,300,0.6733076054322802,0.02287854735088791,0.5228643568305116,0.6358333333333334,24,11838.541666666666,38685.125
synthetic_trace,toolagent_trace,per_decision,10,0.7449479132075346,0.050713530545717894,0.07143294575114839,0.08,24,1040.25,38685.125
synthetic_trace,toolagent_trace,per_decision,60,0.781604934846246,0.02735526189358751,0.3039172578179455,0.39625,24,5046.875,38685.125
synthetic_trace,toolagent_trace,per_decision,300,0.8407448284380606,0.011760438521605035,0.6785120283797758,0.73875,24,11838.541666666666,38685.125
toolagent_trace,conversation_trace,per_decision,10,0.9365199495349709,0.030306863526860583,0.13491660736313996,0.09625,24,75.95833333333333,40000.0
toolagent_trace,conversation_trace,per_decision,60,0.9390621017229478,0.012780093389214068,0.18251961283641907,0.3225,24,439.75,40000.0
toolagent_trace,conversation_trace,per_decision,300,0.9403917380674217,0.006325277085522192,0.3765092187280823,0.6854166666666668,24,1241.6666666666667,40000.0
toolagent_trace,conversation_trace,per_decision,600,0.9397729732006682,0.007910405892407695,0.4437359629966904,0.7566666666666667,24,1552.7083333333333,40000.0
toolagent_trace,synthetic_trace,per_decision,10,0.771370812225019,0.10838628857293567,0.11372767104649807,0.08208333333333333,24,75.95833333333333,40000.0
toolagent_trace,synthetic_trace,per_decision,60,0.7560070060952316,0.056698756560558776,0.08875931884921245,0.23333333333333336,24,439.75,40000.0
toolagent_trace,synthetic_trace,per_decision,300,0.7493788399706066,0.02276195996191765,0.15617269660537983,0.43624999999999997,24,1241.6666666666667,40000.0
