horizon_seconds,model,train_decisions,train_rows,train_prevalence,test_decisions,test_rows,within_decision_auc_micro,within_decision_auc_macro,pooled_auc,regret_when_avoidable,decisions,decisions_with_both_classes,prevalence,status,trace,capacity_fraction,seed,decisions_seen,decisions_kept
600,frequency,15280,244480,0.21026259816753926,9904,158464,0.4711388208044801,0.47129942475005415,0.47048682965966043,0.20628029079159935,9904,0.968497576736672,0.1988148727786753,ok,conversation_trace,0.1,0,189924,40000
600,gbm,15280,244480,0.21026259816753926,9904,158464,0.7077156160515273,0.7072930572238264,0.7072347319296668,0.031704361873990304,9904,0.968497576736672,0.1988148727786753,ok,conversation_trace,0.1,0,189924,40000
600,gbm_plus_context,15280,244480,0.21026259816753926,9904,158464,0.711476783877612,0.7106487703202413,0.7108214486937794,0.027665589660743135,9904,0.968497576736672,0.1988148727786753,ok,conversation_trace,0.1,0,189924,40000
600,linear,15280,244480,0.21026259816753926,9904,158464,0.740649961529004,0.7404040492639715,0.7408141171940588,0.03402665589660743,9904,0.968497576736672,0.1988148727786753,ok,conversation_trace,0.1,0,189924,40000
600,recency,15280,244480,0.21026259816753926,9904,158464,0.7002633478491936,0.6991165648876828,0.7013301546104695,0.02372778675282714,9904,0.968497576736672,0.1988148727786753,ok,conversation_trace,0.1,0,189924,40000
60,arm,17161,65665,0.13271910454580066,17223,66656,0.4263888027455602,0.3928829366716028,0.4333739222062219,0.44072663711842186,17223,0.7038843407071939,0.38202112337974076,ok,synthetic_trace,0.0025,0,120918,40000
60,frequency,17161,65665,0.13271910454580066,17223,66656,0.5993508238747959,0.5786713632358275,0.6529433814253255,0.2668081653037018,17223,0.7038843407071939,0.38202112337974076,ok,synthetic_trace,0.0025,0,120918,40000
60,gbm,17161,65665,0.13271910454580066,17223,66656,0.504899832537369,0.5008177424782225,0.5358404990175888,0.33965915475372993,17223,0.7038843407071939,0.38202112337974076,ok,synthetic_trace,0.0025,0,120918,40000
60,gbm_plus_context,17161,65665,0.13271910454580066,17223,66656,0.49581343422439994,0.4862882799191881,0.5396449591255362,0.34034583931581247,17223,0.7038843407071939,0.38202112337974076,ok,synthetic_trace,0.0025,0,120918,40000
60,linear,17161,65665,0.13271910454580066,17223,66656,0.5372242552047799,0.521662041456028,0.5846570440543497,0.29914476559086084,17223,0.7038843407071939,0.38202112337974076,ok,synthetic_trace,0.0025,0,120918,40000
60,recency,17161,65665,0.13271910454580066,17223,66656,0.5214910376480804,0.54336228263474,0.5442562410852481,0.29003058867594733,17223,0.7038843407071939,0.38202112337974076,ok,synthetic_trace,0.0025,0,120918,40000
300,arm,8803,35837,0.5188492340318666,5111,18354,0.48783482999462735,0.4849470580351159,0.4604425658501699,0.6292798110979929,5111,0.8109958912150265,0.6073335512694781,ok,synthetic_trace,0.0025,0,120918,40000
300,frequency,8803,35837,0.5188492340318666,5111,18354,0.5517691304014123,0.5477968770942233,0.5531153183321106,0.4665879574970484,5111,0.8109958912150265,0.6073335512694781,ok,synthetic_trace,0.0025,0,120918,40000
300,gbm,8803,35837,0.5188492340318666,5111,18354,0.5318903983421598,0.533510923468704,0.5217792603153919,0.5466351829988194,5111,0.8109958912150265,0.6073335512694781,ok,synthetic_trace,0.0025,0,120918,40000
