trace,population,population_cell,split,horizon_seconds,target,model,model_cell,scoring,metric,rows,groups,prevalence,pooled_metric,within_decision_micro,within_decision_macro,decisions_scored,decisions_constant_label,decisions_constant_label_share,evicted_lowest_label_rate
synthetic_trace,candidates_lru_train,"l1=0.01,l2x1",train,300.0,next_use,C_lfu,"l1=0.01,l2x1",raw,spearman,157328.0,9269.0,0.36907607037526696,0.2007080184772451,nan,0.17702375489777658,9061.0,208.0,0.02244039270687237,0.8345021037868162
synthetic_trace,observed,,test,300.0,next_use,C_lfu,"l1=0.01,l2x1",raw,spearman,928443.0,24.0,0.3060230945787733,-0.025193350925240193,nan,-0.030578156878619745,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.01,test,300.0,next_use,C_lfu,"l1=0.01,l2x1",raw,spearman,15211.0,0.0,0.6918019854052988,-0.1136818569968737,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.01,l2x4",test,300.0,next_use,C_lfu,"l1=0.01,l2x4",raw,spearman,92309.0,5434.0,0.7591134125599888,0.01136326949092819,nan,0.025948675426001242,5434.0,0.0,0.0,0.18292234081707767
synthetic_trace,candidates_lfu_train,"l1=0.01,l2x4",train,300.0,next_use,C_lfu,"l1=0.01,l2x4",raw,spearman,162163.0,9554.0,0.45049733909708134,0.36268449426526517,nan,0.3106255878100801,9535.0,19.0,0.0019886958342055683,0.8703160979694369
synthetic_trace,candidates_lru,"l1=0.01,l2x4",test,300.0,next_use,C_lfu,"l1=0.01,l2x4",raw,spearman,91521.0,5390.0,0.6704144404016564,-0.1144328330193604,nan,-0.08874216813401856,5390.0,0.0,0.0,0.15343228200371056
synthetic_trace,candidates_lru_train,"l1=0.01,l2x4",train,300.0,next_use,C_lfu,"l1=0.01,l2x4",raw,spearman,163630.0,9641.0,0.365464768074314,0.22558743286933688,nan,0.1859214026974794,9606.0,35.0,0.0036303288040659683,0.8566538740794524
synthetic_trace,observed,,test,300.0,next_use,C_lfu,"l1=0.01,l2x4",raw,spearman,928443.0,24.0,0.3060230945787733,0.02157658845314935,nan,0.016742675053248838,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.01,test,300.0,next_use,C_lfu,"l1=0.01,l2x4",raw,spearman,15211.0,0.0,0.6918019854052988,-0.10596145785908428,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.02,l2x1",test,300.0,next_use,C_lfu,"l1=0.02,l2x1",raw,spearman,93538.0,5507.0,0.7955483332976971,0.008516613599250945,nan,0.030031724721459648,5507.0,0.0,0.0,0.07317958961321953
synthetic_trace,candidates_lfu_train,"l1=0.02,l2x1",train,300.0,next_use,C_lfu,"l1=0.02,l2x1",raw,spearman,162776.0,9589.0,0.4382955718287708,0.441407030238568,nan,0.39633701489909406,9564.0,25.0,0.0026071540306601315,0.9155282094066117
synthetic_trace,candidates_lru,"l1=0.02,l2x1",test,300.0,next_use,C_lfu,"l1=0.02,l2x1",raw,spearman,92217.0,5430.0,0.6701150547079172,-0.13778878055315746,nan,-0.099508387181349,5430.0,0.0,0.0,0.16187845303867404
synthetic_trace,candidates_lru_train,"l1=0.02,l2x1",train,300.0,next_use,C_lfu,"l1=0.02,l2x1",raw,spearman,162234.0,9559.0,0.36487419406536237,0.2025791167969308,nan,0.1847169669062908,9511.0,48.0,0.005021445757924469,0.8541688461136102
synthetic_trace,observed,,test,300.0,next_use,C_lfu,"l1=0.02,l2x1",raw,spearman,928443.0,24.0,0.3060230945787733,0.015777763870008576,nan,0.010822584874339366,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.02,test,300.0,next_use,C_lfu,"l1=0.02,l2x1",raw,spearman,14982.0,0.0,0.6786143372046456,-0.14411339960240271,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.02,l2x4",test,300.0,next_use,C_lfu,"l1=0.02,l2x4",raw,spearman,98869.0,5821.0,0.7014938959633454,-0.06363131306346198,nan,-0.03127128899320575,5821.0,0.0,0.0,0.25665693179866
synthetic_trace,candidates_lfu_train,"l1=0.02,l2x4",train,300.0,next_use,C_lfu,"l1=0.02,l2x4",raw,spearman,162381.0,9570.0,0.4279995812317944,0.30197933852704234,nan,0.23604751972949672,9562.0,8.0,0.0008359456635318704,0.8470219435736677
synthetic_trace,candidates_lru,"l1=0.02,l2x4",test,300.0,next_use,C_lfu,"l1=0.02,l2x4",raw,spearman,97846.0,5764.0,0.6465466140670032,-0.09143889459364106,nan,-0.08544323826132098,5764.0,0.0,0.0,0.1693268563497571
synthetic_trace,candidates_lru_train,"l1=0.02,l2x4",train,300.0,next_use,C_lfu,"l1=0.02,l2x4",raw,spearman,168037.0,9900.0,0.36183102530990197,0.20790492463441057,nan,0.18583435919116184,9882.0,18.0,0.0018181818181818182,0.8661616161616161
synthetic_trace,observed,,test,300.0,next_use,C_lfu,"l1=0.02,l2x4",raw,spearman,928443.0,24.0,0.3060230945787733,0.16045601665969664,nan,0.15817189664195927,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.02,test,300.0,next_use,C_lfu,"l1=0.02,l2x4",raw,spearman,14982.0,0.0,0.6786143372046456,0.004499120026983874,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.0025,l2x1",test,300.0,next_use,C_lru,"l1=0.0025,l2x1",raw,spearman,87298.0,5137.0,0.9237897775435864,0.39899565016138383,nan,0.47043772382328114,5132.0,5.0,0.0009733307377846992,0.44967880085653106
synthetic_trace,candidates_lfu_train,"l1=0.0025,l2x1",train,300.0,next_use,C_lru,"l1=0.0025,l2x1",raw,spearman,150691.0,8875.0,0.2675873144381549,0.20488200402910053,nan,0.06402571823641545,6494.0,2381.0,0.2682816901408451,0.7827605633802817
synthetic_trace,candidates_lru,"l1=0.0025,l2x1",test,300.0,next_use,C_lru,"l1=0.0025,l2x1",raw,spearman,86974.0,5121.0,0.691769954239198,0.18606406896617453,nan,0.1518068342481468,4748.0,373.0,0.0728373364577231,0.5454012888107791
synthetic_trace,candidates_lru_train,"l1=0.0025,l2x1",train,300.0,next_use,C_lru,"l1=0.0025,l2x1",raw,spearman,150144.0,8847.0,0.36385736359761295,0.2326998017012235,nan,0.194282201848254,6689.0,2158.0,0.24392449417881767,0.845484344975698
synthetic_trace,observed,,test,300.0,next_use,C_lru,"l1=0.0025,l2x1",raw,spearman,928443.0,24.0,0.3060230945787733,0.3451818171492773,nan,0.34207404942021524,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.0025,test,300.0,next_use,C_lru,"l1=0.0025,l2x1",raw,spearman,15460.0,0.0,0.6950194049159121,0.17693694884935685,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.0025,l2x4",test,300.0,next_use,C_lru,"l1=0.0025,l2x4",raw,spearman,88064.0,5186.0,0.8781227289244186,0.2986078446597697,nan,0.23002826464048248,5186.0,0.0,0.0,0.3231777863478596
synthetic_trace,candidates_lfu_train,"l1=0.0025,l2x4",train,300.0,next_use,C_lru,"l1=0.0025,l2x4",raw,spearman,154428.0,9099.0,0.4300903981143316,0.33029714034654234,nan,0.274054986093551,9065.0,34.0,0.0037366743598197605,0.8171227607429388
